 70
 6.00E+06 6.627E+06 1.980E+02 5.397E+02 6.627E+06 1.474E+02 4.248E+02 1.795E+08
 7.00E+06 6.618E+06 1.515E+02 4.139E+02 6.618E+06 1.136E+02 3.279E+02 2.121E+08
 8.00E+06 6.612E+06 1.198E+02 3.282E+02 6.612E+06 9.043E+01 2.613E+02 2.451E+08
 9.00E+06 6.607E+06 9.725E+01 2.669E+02 6.607E+06 7.383E+01 2.136E+02 2.786E+08
 1.00E+07 6.604E+06 8.058E+01 2.216E+02 6.604E+06 6.150E+01 1.781E+02 3.125E+08
 1.25E+07 6.599E+06 5.387E+01 1.488E+02 6.599E+06 4.159E+01 1.207E+02 3.985E+08
 1.50E+07 6.597E+06 3.860E+01 1.071E+02 6.597E+06 3.010E+01 8.749E+01 4.863E+08
 1.75E+07 6.595E+06 2.902E+01 8.080E+01 6.595E+06 2.284E+01 6.650E+01 5.753E+08
 2.00E+07 6.594E+06 2.261E+01 6.319E+01 6.594E+06 1.795E+01 5.233E+01 6.655E+08
 2.50E+07 6.593E+06 1.481E+01 4.170E+01 6.593E+06 1.195E+01 3.494E+01 8.484E+08
 3.00E+07 6.592E+06 1.042E+01 2.955E+01 6.592E+06 8.540E+00 2.503E+01 1.034E+09
 3.50E+07 6.591E+06 7.710E+00 2.201E+01 6.591E+06 6.409E+00 1.883E+01 1.222E+09
 4.00E+07 6.591E+06 5.917E+00 1.700E+01 6.591E+06 4.988E+00 1.469E+01 1.411E+09
 4.50E+07 6.591E+06 4.674E+00 1.351E+01 6.591E+06 3.992E+00 1.178E+01 1.602E+09
 5.00E+07 6.591E+06 3.779E+00 1.098E+01 6.591E+06 3.267E+00 9.656E+00 1.794E+09
 6.00E+07 6.591E+06 2.608E+00 7.643E+00 6.591E+06 2.303E+00 6.829E+00 2.181E+09
 7.00E+07 6.591E+06 1.903E+00 5.612E+00 6.591E+06 1.710E+00 5.083E+00 2.571E+09
 8.00E+07 6.591E+06 1.448E+00 4.290E+00 6.591E+06 1.320E+00 3.929E+00 2.963E+09
 9.00E+07 6.591E+06 1.139E+00 3.382E+00 6.591E+06 1.049E+00 3.128E+00 3.357E+09
 1.00E+08 6.591E+06 9.188E-01 2.734E+00 6.591E+06 8.537E-01 2.548E+00 3.752E+09
 1.25E+08 6.591E+06 5.837E-01 1.743E+00 6.591E+06 5.511E-01 1.648E+00 4.746E+09
 1.50E+08 6.591E+06 4.034E-01 1.206E+00 6.591E+06 3.849E-01 1.152E+00 5.745E+09
 1.75E+08 6.591E+06 2.954E-01 8.842E-01 6.591E+06 2.839E-01 8.502E-01 6.747E+09
 2.00E+08 6.591E+06 2.257E-01 6.758E-01 6.591E+06 2.180E-01 6.532E-01 7.752E+09
 2.50E+08 6.591E+06 1.440E-01 4.315E-01 6.591E+06 1.401E-01 4.200E-01 9.766E+09
 3.00E+08 6.591E+06 9.980E-02 2.992E-01 6.591E+06 9.759E-02 2.926E-01 1.178E+10
 3.50E+08 6.591E+06 7.323E-02 2.196E-01 6.591E+06 7.184E-02 2.154E-01 1.381E+10
 4.00E+08 6.591E+06 5.601E-02 1.680E-01 6.591E+06 5.509E-02 1.652E-01 1.583E+10
 4.50E+08 6.591E+06 4.423E-02 1.326E-01 6.591E+06 4.358E-02 1.307E-01 1.786E+10
 5.00E+08 6.591E+06 3.581E-02 1.074E-01 6.591E+06 3.533E-02 1.060E-01 1.989E+10
 6.00E+08 6.591E+06 2.485E-02 7.453E-02 6.591E+06 2.457E-02 7.370E-02 2.395E+10
 7.00E+08 6.591E+06 1.824E-02 5.473E-02 6.591E+06 1.807E-02 5.420E-02 2.802E+10
 8.00E+08 6.591E+06 1.396E-02 4.189E-02 6.591E+06 1.385E-02 4.153E-02 3.208E+10
 9.00E+08 6.591E+06 1.103E-02 3.309E-02 6.591E+06 1.095E-02 3.283E-02 3.616E+10
 1.00E+09 6.591E+06 8.932E-03 2.679E-02 6.591E+06 8.870E-03 2.661E-02 4.023E+10
