C
C     One-electron Compton profiles and ionization energies for
C  the elements Z=1-92.
C
C |--- Atomic number, Z.
C | |--- Shell (nlj). j is indicated with a plus sign if j=l+1/2,
C | |    and with a minus sign if j=l-1/2.
C | |   |--- Shell occupation number, Zi.
C | |   | |--- One-electron Compton profile at p=0, in atomic
C | |   | |    units. Taken from F. Biggs, L. B. Mendelsohn and
C | |   | |    J. B. Mann, At. Data and Nucl. Data Tables 16
C | |   | |    (1975) 201.
C | |   | |            |--- Ionization energy (eV).
C | |   | |            |
 47 5s+ 1 1.64E+0 000008
 48 1s+ 2 1.71E-2 026711
 48 2s+ 2 6.15E-2 004018
 48 2p- 2 3.07E-2 003727
 48 2p+ 4 3.19E-2 003538
 48 3s+ 2 1.45E-1 000770
 48 3p- 2 8.64E-2 000651
 48 3p+ 4 8.88E-2 000617
 48 3d- 4 6.00E-2 000411
 48 3d+ 6 6.05E-2 000405
 48 4s+ 2 3.52E-1 000108
 48 4p- 2 2.30E-1 000067
 48 4p+ 4 2.37E-1 000067
 48 4d- 4 2.24E-1 000009
 48 4d+ 6 2.28E-1 000009
 48 5s+ 2 1.45E+0 000009
 49 1s+ 2 1.67E-2 027940
 49 2s+ 2 6.00E-2 004238
 49 2p- 2 2.99E-2 003938
 49 2p+ 4 3.11E-2 003730
 49 3s+ 2 1.41E-1 000826
 49 3p- 2 8.38E-2 000702
 49 3p+ 4 8.63E-2 000664
 49 3d- 4 5.81E-2 000451
 49 3d+ 6 5.86E-2 000444
 49 4s+ 2 3.36E-1 000122
 49 4p- 2 2.19E-1 000077
 49 4p+ 4 2.26E-1 000077
 49 4d- 4 2.06E-1 000016
 49 4d+ 6 2.08E-1 000016
 49 5s+ 2 1.24E+0 000006
 49 5p- 1 9.62E-1 000006
 50 1s+ 2 1.63E-2 029200
 50 2s+ 2 5.86E-2 004465
 50 2p- 2 2.92E-2 004156
 50 2p+ 4 3.04E-2 003929
 50 3s+ 2 1.37E-1 000884
 50 3p- 2 8.14E-2 000757
 50 3p+ 4 8.39E-2 000715
 50 3d- 4 5.63E-2 000496
 50 3d+ 6 5.69E-2 000485
 50 4s+ 2 3.22E-1 000137
 50 4p- 2 2.09E-1 000089
 50 4p+ 4 2.16E-1 000089
 50 4d- 4 1.92E-1 000025
 50 4d+ 6 1.93E-1 000024
 50 5s+ 2 1.10E+0 000007
 50 5p- 2 8.36E-1 000007
 51 1s+ 2 1.59E-2 030491
 51 2s+ 2 5.72E-2 004699
 51 2p- 2 2.85E-2 004381
 51 2p+ 4 2.98E-2 004132
 51 3s+ 2 1.33E-1 000944
 51 3p- 2 7.91E-2 000812
 51 3p+ 4 8.16E-2 000766
 51 3d- 4 5.46E-2 000537
 51 3d+ 6 5.52E-2 000528
 51 4s+ 2 3.09E-1 000152
 51 4p- 2 2.00E-1 000099
 51 4p+ 4 2.07E-1 000099
 51 4d- 4 1.79E-1 000033
 51 4d+ 6 1.81E-1 000032
 51 5s+ 2 1.00E+0 000008
 51 5p- 2 7.37E-1 000008
 51 5p+ 1 7.64E-1 000008
 52 1s+ 2 1.56E-2 031814
 52 2s+ 2 5.59E-2 004939
 52 2p- 2 2.78E-2 004612
 52 2p+ 4 2.91E-2 004341
 52 3s+ 2 1.30E-1 001006
 52 3p- 2 7.69E-2 000870
 52 3p+ 4 7.94E-2 000819
 52 3d- 4 5.30E-2 000583
 52 3d+ 6 5.36E-2 000573
 52 4s+ 2 2.96E-1 000169
 52 4p- 2 1.91E-1 000110
 52 4p+ 4 1.98E-1 000110
 52 4d- 4 1.68E-1 000042
 52 4d+ 6 1.70E-1 000040
 52 5s+ 2 9.20E-1 000012
 52 5p- 2 6.65E-1 000009
 52 5p+ 2 6.93E-1 000009
 53 1s+ 2 1.53E-2 033170
 53 2s+ 2 5.47E-2 005188
 53 2p- 2 2.72E-2 004852
 53 2p+ 4 2.85E-2 004557
 53 3s+ 2 1.26E-1 001072
 53 3p- 2 7.48E-2 000931
 53 3p+ 4 7.74E-2 000875
 53 3d- 4 5.15E-2 000631
 53 3d+ 6 5.21E-2 000620
 53 4s+ 2 2.85E-1 000186
 53 4p- 2 1.84E-1 000123
 53 4p+ 4 1.90E-1 000123
